family_id,pathway,expected_context_count,formal_interaction_strong,opposing_strong_contexts,supported_context_heterogeneity,basis,interpretation_label,interaction_context,interaction_camera_fdr_min,interaction_score_fdr_min,interaction_score_abs_std_max
FAMILY_2,mTORC1 Signaling,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.374833636353654,0.72518583558033
FAMILY_2,p53 Pathway,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.0908044606921019,1.78636212405134
FAMILY_3,Adipogenesis,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.0586431365807897,0.937101468320962,0.295864451350067
FAMILY_3,Allograft Rejection,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.43361987428283,0.937101468320962,0.437013055150818
FAMILY_3,Androgen Response,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.132407033154896,0.937101468320962,0.297636300349293
FAMILY_3,Angiogenesis,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.590732749319213,0.937101468320962,0.0948879210475684
FAMILY_3,Apical Junction,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.971860080164333,0.937101468320962,0.317233929529858
FAMILY_3,Apical Surface,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.655374013754162,0.937101468320962,0.192292060319704
FAMILY_3,Apoptosis,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.710230064788273,0.937101468320962,0.136621735010678
FAMILY_3,Bile Acid Metabolism,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.132283225306006,0.937101468320962,0.33552275768126
FAMILY_3,Cholesterol Homeostasis,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,3.47890380734748e-05,0.937101468320962,0.531374903235286
FAMILY_3,Coagulation,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.132407033154896,0.937101468320962,0.0898938269182527
FAMILY_3,Complement,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.764171936805153,0.937101468320962,0.132274782361116
FAMILY_3,DNA Repair,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.660895799208084,0.937101468320962,0.233191020933739
FAMILY_3,E2F Targets,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.188740950173259,0.937101468320962,0.25439037861404
FAMILY_3,Epithelial Mesenchymal Transition,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.368385175311709,0.937101468320962,0.125337465201491
FAMILY_3,Estrogen Response Early,2,False,False,False,,DURATION_BATCH_CONTEXT,liver_24h_vs_240h_duration_batch,0.684407834049737,0.937101468320962,0.224625459936677
